id,gender,age,first_purchase_date,last_purchase_date
665,女性,30,2022-10-10,2022-11-11
666,女性,37,2022-10-10,2022-10-10
667,女性,45,2022-10-10,2022-10-31
668,女性,38,2022-10-12,2022-10-12
669,女性,35,2022-10-12,2022-10-12
670,女性,36,2022-10-12,2022-11-08
671,女性,60,2022-10-13,2022-10-31
672,女性,60,2022-10-13,2022-12-09
673,男性,51,2022-10-13,2022-10-28
674,女性,57,2022-10-14,2022-10-14
675,男性,25,2022-10-14,2022-10-14
676,男性,27,2022-10-15,2022-11-09
677,男性,45,2022-10-15,2022-11-03
678,女性,44,2022-10-15,2022-10-15
679,女性,43,2022-10-15,2022-11-23
680,女性,41,2022-10-16,2022-11-05
681,女性,34,2022-10-16,2022-12-27
682,女性,32,2022-10-16,2022-10-16
683,女性,22,2022-10-17,2022-10-17
684,男性,29,2022-10-17,2022-10-17
685,女性,54,2022-10-17,2022-10-17
686,女性,26,2022-10-18,2022-11-21
687,女性,57,2022-10-18,2022-10-18
688,男性,61,2022-10-18,2022-11-08
689,女性,50,2022-10-19,2022-10-19
690,男性,53,2022-10-20,2022-10-20
691,女性,60,2022-10-20,2022-11-24
692,女性,47,2022-10-20,2022-12-10
693,女性,66,2022-10-22,2022-11-15
694,女性,47,2022-10-23,2022-10-23
695,女性,31,2022-10-24,2022-12-05
696,女性,56,2022-10-24,2022-10-24
697,男性,53,2022-10-24,2022-11-29
698,女性,63,2022-10-25,2022-10-25
699,女性,24,2022-10-25,2022-12-14
700,女性,47,2022-10-25,2022-12-02
701,女性,49,2022-10-25,2022-10-25
702,男性,40,2022-10-26,2022-11-17
703,女性,26,2022-10-27,2022-10-27
704,女性,22,2022-10-27,2022-11-22
705,女性,40,2022-10-28,2022-11-14
706,女性,37,2022-10-30,2022-12-07
707,女性,34,2022-10-31,2022-11-21
708,女性,24,2022-11-01,2022-12-24
709,女性,27,2022-11-02,2022-11-02
710,男性,33,2022-11-02,2022-12-13
711,女性,43,2022-11-02,2022-12-20
712,女性,27,2022-11-03,2022-12-23
713,女性,51,2022-11-04,2022-11-04
714,女性,53,2022-11-04,2022-12-15
715,女性,46,2022-11-05,2022-11-05
716,男性,59,2022-11-06,2022-11-06
717,男性,56,2022-11-06,2022-11-06
718,女性,42,2022-11-06,2022-11-30
719,女性,42,2022-11-06,2022-12-03
720,女性,48,2022-11-07,2022-12-04
721,女性,27,2022-11-07,2022-11-07
722,女性,40,2022-11-08,2022-11-08
723,女性,31,2022-11-08,2022-11-08
724,女性,53,2022-11-09,2022-11-25
725,女性,29,2022-11-09,2022-11-09
726,女性,52,2022-11-10,2022-12-01
727,男性,38,2022-11-10,2022-11-29
728,女性,43,2022-11-11,2022-12-01
729,男性,52,2022-11-11,2022-12-16
730,女性,27,2022-11-12,2022-11-12
731,男性,54,2022-11-12,2022-11-12
732,男性,32,2022-11-12,2022-12-21
733,男性,51,2022-11-13,2022-11-13
734,男性,48,2022-11-13,2022-11-13
735,女性,53,2022-11-13,2022-11-13
736,女性,23,2022-11-15,2022-12-03
737,女性,64,2022-11-15,2022-11-15
738,女性,55,2022-11-15,2022-12-05
739,女性,62,2022-11-15,2022-11-15
740,男性,35,2022-11-16,2022-11-16
741,男性,62,2022-11-18,2022-11-18
742,男性,52,2022-11-19,2022-11-19
743,女性,40,2022-11-19,2022-12-07
744,男性,35,2022-11-19,2022-12-20
745,女性,35,2022-11-19,2022-11-19
746,男性,59,2022-11-19,2022-12-26
747,女性,36,2022-11-20,2022-11-20
748,女性,54,2022-11-20,2022-11-20
749,男性,31,2022-11-20,2022-12-05
750,女性,52,2022-11-20,2022-12-15
751,男性,56,2022-11-21,2022-12-12
752,男性,55,2022-11-21,2022-11-21
753,女性,59,2022-11-22,2022-11-22
754,女性,48,2022-11-22,2022-11-22
755,女性,39,2022-11-23,2022-11-23
756,女性,49,2022-11-25,2022-12-25
757,女性,49,2022-11-26,2022-12-17
758,男性,43,2022-11-27,2022-12-15
759,男性,29,2022-11-28,2022-11-28
760,女性,50,2022-11-29,2022-11-29
761,女性,27,2022-11-29,2022-11-29
762,女性,37,2022-11-29,2022-12-19
763,女性,41,2022-11-30,2022-12-30
764,女性,25,2022-11-30,2022-12-29
765,女性,25,2022-11-30,2022-12-17
766,男性,35,2022-12-01,2022-12-01
767,女性,41,2022-12-01,2023-01-01
768,女性,38,2022-12-01,2022-12-01
769,女性,59,2022-12-01,2022-12-01
770,女性,55,2022-12-01,2022-12-01
771,女性,44,2022-12-02,2022-12-02
772,女性,29,2022-12-02,2022-12-15
773,女性,37,2022-12-03,2022-12-25
774,女性,44,2022-12-03,2022-12-03
775,男性,41,2022-12-04,2022-12-04
776,女性,37,2022-12-05,2022-12-31
777,女性,55,2022-12-06,2022-12-23
778,女性,47,2022-12-06,2022-12-24
779,男性,40,2022-12-06,2022-12-06
780,女性,52,2022-12-06,2022-12-24
781,男性,63,2022-12-09,2022-12-09
782,女性,48,2022-12-10,2022-12-23
783,女性,42,2022-12-11,2022-12-11
784,男性,27,2022-12-12,2022-12-28
785,男性,59,2022-12-12,2022-12-12
786,女性,59,2022-12-12,2022-12-31
787,男性,55,2022-12-14,2022-12-31
788,男性,35,2022-12-17,2022-12-17
789,女性,46,2022-12-17,2022-12-17
790,女性,44,2022-12-17,2022-12-17
791,女性,26,2022-12-19,2022-12-19
792,女性,42,2022-12-21,2022-12-21
793,女性,40,2022-12-21,2022-12-21
794,女性,48,2022-12-23,2022-12-23
795,女性,27,2022-12-24,2022-12-24
796,女性,55,2022-12-27,2022-12-27
797,男性,50,2022-12-28,2022-12-28
798,女性,57,2022-12-29,2022-12-29
799,女性,45,2022-12-31,2022-12-31
800,男性,28,2022-12-31,2022-12-31
